id,category_id,farm_name,location,phone,description,original_program,region_zone,distance_guide,imageUrl,is_real
11,3,원주 돼지문화원,강원도 원주시 힐링로 13,033-6624-9400,"[50대 맞춤] 농촌 생활을 미리 경험해보고 흙을 만지며 마음의 평안과 새로운 삶의 방향성을 탐색해 봅니다.","자연 밥상 요리 교실 및 산책","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=11","real"
12,4,영월 동강 치유마을,강원도 영월군 별빛로 534,033-6973-7136,"[60대 맞춤] 원예 치료와 가벼운 산책을 통해 정서적 안정감과 삶의 활력을 되찾아 드립니다.","반려식물 키우기 및 미술 치료","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=12","real"
13,1,부여 기와마을 치유농장,충청남도 부여군 퇴계로 868,041-3073-2353,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=13","real"
14,2,공주 계룡산 허브농원,충청남도 공주시 자연로 175,041-5587-6520,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","싱잉볼 명상 및 다도 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=14","real"
15,3,보령 하늘맞이 농장,충청남도 보령시 수목원로 906,041-1300-8483,"[50대 맞춤] 농촌 생활을 미리 경험해보고 흙을 만지며 마음의 평안과 새로운 삶의 방향성을 탐색해 봅니다.","자연 밥상 요리 교실 및 산책","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=15","real"
16,4,서천 치유의 숲,충청남도 서천군 힐링로 17,041-3197-2444,"[60대 맞춤] 원예 치료와 가벼운 산책을 통해 정서적 안정감과 삶의 활력을 되찾아 드립니다.","반려식물 키우기 및 미술 치료","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=16","real"
17,1,제천 한방 엑스포공원 치유원,충청북도 제천시 힐링로 14,043-5865-4754,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=17","real"
18,2,충주 깊은산속 옹달샘,충청북도 충주시 퇴계로 655,043-4813-9106,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","싱잉볼 명상 및 다도 체험","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=18","real"
19,3,단양 소백산 자연휴양림,충청북도 단양군 청정로 558,043-8026-3909,"[50대 맞춤] 농촌 생활을 미리 경험해보고 흙을 만지며 마음의 평안과 새로운 삶의 방향성을 탐색해 봅니다.","귀농귀촌 기초 교육 및 텃밭 가꾸기","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=19","real"
20,4,보은 속리산 테마파크,충청북도 보은군 별빛로 388,043-7657-1723,"[60대 맞춤] 원예 치료와 가벼운 산책을 통해 정서적 안정감과 삶의 활력을 되찾아 드립니다.","시니어 건강 증진 산책 및 원예 치료","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/farm,nature/all?lock=20","real"
21,1,순천만 국가정원 치유센터,전라남도 순천시 산림로 468,061-3265-1344,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=21","real"
22,2,담양 죽녹원 힐링센터,전라남도 담양군 힐링로 702,061-4555-8115,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","싱잉볼 명상 및 다도 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=22","real"
23,3,보성 차밭 명상농원,전라남도 보성군 수목원로 1,061-1879-2025,"[50대 맞춤] 농촌 생활을 미리 경험해보고 흙을 만지며 마음의 평안과 새로운 삶의 방향성을 탐색해 봅니다.","목공예 체험 및 전원생활 실습","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=23","real"
24,4,장흥 정남진 편백숲,전라남도 장흥군 힐링로 725,061-1554-2358,"[60대 맞춤] 원예 치료와 가벼운 산책을 통해 정서적 안정감과 삶의 활력을 되찾아 드립니다.","전통 장 담그기 및 한방 족욕","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=24","real"
25,2,완주 오성 한옥치유마을,전라북도 완주군 퇴계로 815,063-8878-7184,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=25","real"
26,3,순창 쉴랜드 치유농장,전라북도 순창군 수목원로 30,063-5383-5301,"[50대 맞춤] 농촌 생활을 미리 경험해보고 흙을 만지며 마음의 평안과 새로운 삶의 방향성을 탐색해 봅니다.","자연 밥상 요리 교실 및 산책","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=26","real"
27,4,남원 지리산 허브밸리,전라북도 남원시 퇴계로 769,063-9301-6485,"[60대 맞춤] 원예 치료와 가벼운 산책을 통해 정서적 안정감과 삶의 활력을 되찾아 드립니다.","전통 장 담그기 및 한방 족욕","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=27","real"
28,1,남해 편백 자연휴양림,경상남도 남해군 힐링로 25,055-2784-7865,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=28","real"
29,2,하동 야생차 치유농원,경상남도 하동군 산림로 382,055-3949-2284,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","싱잉볼 명상 및 다도 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=29","real"
30,4,산청 동의보감촌 치유의숲,경상남도 산청군 퇴계로 777,055-8598-7344,"[60대 맞춤] 원예 치료와 가벼운 산책을 통해 정서적 안정감과 삶의 활력을 되찾아 드립니다.","반려식물 키우기 및 미술 치료","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/farm,nature/all?lock=30","real"
31,1,마음청정 수목원,충청북도 청주시 자연로 795,043-6477-7037,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=31","dummy"
32,1,바람은빛 치유농장,경상북도 영주시 산림로 822,054-9755-7328,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=32","dummy"
33,1,마음하늘 체험마을,경기도 이천시 퇴계로 358,031-7468-8391,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=33","dummy"
34,1,푸른마음 쉼터,전라북도 전주시 힐링로 893,063-8567-9433,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=34","dummy"
35,1,바람은빛 치유농장,강원도 강릉시 힐링로 231,033-9441-6571,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=35","dummy"
36,1,은빛자연 치유의숲,충청북도 청주시 힐링로 271,043-6623-1704,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=36","dummy"
37,1,자연은빛 치유의숲,경기도 안성시 퇴계로 199,031-4495-4783,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=37","dummy"
38,1,바람별빛 농원,제주특별자치도 서귀포시 산림로 952,064-8852-3219,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=38","dummy"
39,1,초록푸른 농원,경상북도 안동시 별빛로 349,054-6585-4672,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=39","dummy"
40,1,황금청정 치유농장,강원도 강릉시 별빛로 352,033-9678-3004,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=40","dummy"
41,1,바람하늘 농원,경기도 이천시 수목원로 324,031-5976-4548,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=41","dummy"
42,1,자연마음 힐링센터,전라남도 나주시 퇴계로 862,061-6894-7149,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=42","dummy"
43,1,마음은빛 힐링센터,충청북도 청주시 힐링로 71,043-4948-3004,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=43","dummy"
44,1,황금바람 치유농장,경상북도 영주시 수목원로 53,054-9700-7363,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=44","dummy"
45,1,하늘황금 수목원,경기도 안성시 힐링로 249,031-7397-5356,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=45","dummy"
46,1,황금바람 치유의숲,제주특별자치도 서귀포시 별빛로 514,064-9520-5505,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=46","dummy"
47,1,마음별빛 치유농장,경기도 이천시 수목원로 677,031-8233-3160,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=47","dummy"
48,1,푸른하늘 쉼터,경상북도 영주시 산림로 334,054-6158-4618,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=48","dummy"
49,1,하늘은빛 쉼터,경기도 이천시 자연로 723,031-9604-1228,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=49","dummy"
50,1,자연별빛 수목원,전라북도 전주시 자연로 292,063-2852-7816,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=50","dummy"
51,1,푸른황금 치유농장,전라북도 전주시 별빛로 690,063-2799-4247,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=51","dummy"
52,1,은빛마음 수목원,충청북도 청주시 청정로 311,043-8289-8657,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=52","dummy"
53,1,은빛별빛 치유농장,충청북도 청주시 별빛로 628,043-9028-5576,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=53","dummy"
54,1,별빛청정 힐링센터,경상북도 영주시 수목원로 817,054-7449-2817,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=54","dummy"
55,1,초록청정 힐링센터,제주특별자치도 서귀포시 힐링로 158,064-8180-3204,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=55","dummy"
56,1,자연푸른 치유의숲,충청남도 아산시 청정로 76,041-6713-1423,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=56","dummy"
57,1,청정바람 쉼터,전라북도 전주시 퇴계로 43,063-4139-8137,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=57","dummy"
58,1,마음햇살 치유농장,충청북도 청주시 자연로 688,043-5421-4473,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=58","dummy"
59,1,바람마음 힐링센터,경기도 이천시 청정로 425,031-3738-9364,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=59","dummy"
60,1,초록은빛 치유의숲,전라북도 전주시 수목원로 79,063-8241-1697,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=60","dummy"
61,1,하늘별빛 치유의숲,강원도 강릉시 평화로 472,033-5881-1285,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","산악 트레킹 및 숲속 액티비티","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=61","dummy"
62,1,바람햇살 농원,경상북도 영주시 청정로 400,054-873-2732,"[30대 맞춤] 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=62","dummy"
63,2,황금청정 농원,경기도 안성시 평화로 800,031-3474-7296,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=63","dummy"
64,2,마음하늘 치유의숲,전라북도 전주시 퇴계로 167,063-1514-6423,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=64","dummy"
65,2,마음자연 힐링센터,경기도 안성시 수목원로 960,031-3390-7630,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=65","dummy"
66,2,마음별빛 힐링센터,경기도 이천시 평화로 138,031-774-6880,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","디지털 디톡스 및 숲속 멍때리기","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=66","dummy"
67,2,자연자연 수목원,충청남도 아산시 수목원로 350,041-2443-2464,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","싱잉볼 명상 및 다도 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=67","dummy"
68,2,햇살바람 체험마을,경기도 이천시 수목원로 354,031-3850-1997,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=68","dummy"
69,2,별빛별빛 치유의숲,경상북도 영주시 자연로 241,054-2149-1013,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","싱잉볼 명상 및 다도 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=69","dummy"
70,2,햇살초록 쉼터,경상북도 영주시 힐링로 380,054-2234-7829,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=70","dummy"
71,2,햇살바람 농원,제주특별자치도 서귀포시 퇴계로 820,064-5843-9296,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=71","dummy"
72,2,별빛초록 체험마을,충청북도 청주시 산림로 625,043-5435-8286,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=72","dummy"
73,2,은빛자연 힐링센터,제주특별자치도 서귀포시 평화로 197,064-3464-6869,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","디지털 디톡스 및 숲속 멍때리기","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=73","dummy"
74,2,햇살청정 쉼터,경상북도 안동시 산림로 397,054-537-5265,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","싱잉볼 명상 및 다도 체험","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=74","dummy"
75,2,청정청정 치유의숲,경기도 이천시 청정로 375,031-3114-2651,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","번아웃 극복 요가 및 감귤 수확","가까운 힐링","당일~1박2일 추천 코스","https://loremflickr.com/800/600/forest,healing/all?lock=75","dummy"
76,2,별빛햇살 치유농장,제주특별자치도 서귀포시 평화로 370,064-1030-5175,"[40대 맞춤] 고요한 자연 속에서의 완전한 고립과 깊은 휴식을 통해 무거운 짐을 내려놓고 재충전의 시간을 가집니다.","디지털 디톡스 및 숲속 멍때리기","힐링 여행","1박2일~2박3일 여행 코스","https://loremflickr.com/800/600/forest,healing/all?lock=76","dummy"
